City,Date,Level,Path
"Chicago, Illinois","2020/02/01","1.4912595725036226","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200201T180837_20200201T195007_11937_01_010302_20200204T232112.nc"
"Atlanta, Georgia","2020/02/01","0.45812817188561894","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200201T180837_20200201T195007_11937_01_010302_20200204T232112.nc"
"Houston, Texas","2020/02/01","0.39478409598814324","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200201T180837_20200201T195007_11937_01_010302_20200204T232112.nc"
"New York City, New York","2020/02/01","25.0588862108998","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200201T162706_20200201T180837_11936_01_010302_20200204T210232.nc"
"Chicago, Illinois","2020/01/05","1.3789048862236086","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200105T163146_20200105T181316_11553_01_010302_20200107T095129.nc"
"New York City, New York","2020/01/05","0.3144245411021984","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200105T163146_20200105T181316_11553_01_010302_20200107T095129.nc"
"Chicago, Illinois","2020/03/21","0.3181109223078238","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200321T185350_20200321T185850_12632_01_010302_20200321T193317.nc"
"New York City, New York","2020/03/21","0.5296746621752391","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200321T185350_20200321T185850_12632_01_010302_20200321T193317.nc"
"Atlanta, Georgia","2020/03/21","0.29607391752506373","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200321T185350_20200321T185850_12632_01_010302_20200321T193317.nc"
"Houston, Texas","2020/03/21","1.0771586566988844","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200321T185350_20200321T185850_12632_01_010302_20200321T193317.nc"
"Paris, France","2020/03/22","0.33703376811899943","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T115350_20200322T115850_12642_01_010302_20200322T124041.nc"
"Berlin, Germany","2020/03/22","0.20781468811037485","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T115350_20200322T115850_12642_01_010302_20200322T124041.nc"
"London, England","2020/03/22","0.3206742303518695","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T115350_20200322T115850_12642_01_010302_20200322T124041.nc"
"Los Angelos, California","2020/03/21","0.48376629456470255","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200321T203350_20200321T203850_12633_01_010302_20200321T211350.nc"
"Los Angelos, California","2020/02/01","3.1406249036081135","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200201T195007_20200201T213137_11938_01_010302_20200205T003643.nc"
"Paris, France","2020/01/05","1.4908159610058647","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200105T112716_20200105T130846_11550_01_010302_20200107T042413.nc"
"Berlin, Germany","2020/01/05","1.5616643358953297","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200105T112716_20200105T130846_11550_01_010302_20200107T042413.nc"
"London, England","2020/01/05","1.0481575227458961","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200105T112716_20200105T130846_11550_01_010302_20200107T042413.nc"
"Paris, France","2020/02/01","0.34634778967301827","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200201T112236_20200201T130406_11933_01_010302_20200204T163837.nc"
"Berlin, Germany","2020/02/01","2.871137810871005","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200201T112236_20200201T130406_11933_01_010302_20200204T163837.nc"
"London, England","2020/02/01","0.41205033448932227","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200201T112236_20200201T130406_11933_01_010302_20200204T163837.nc"
"Chicago, Illinois","2020/01/05","0.4815240354218986","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200105T181316_20200105T195446_11554_01_010302_20200107T114003.nc"
"Atlanta, Georgia","2020/01/05","0.3628054946602788","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200105T181316_20200105T195446_11554_01_010302_20200107T114003.nc"
"Houston, Texas","2020/01/05","0.36283153258409584","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200105T181316_20200105T195446_11554_01_010302_20200107T114003.nc"
"Los Angelos, California","2020/01/05","3.745525929844007","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_OFFL_L2__NO2____20200105T195446_20200105T213616_11555_01_010302_20200107T125917.nc"
"Paris, France","2020/03/22","0.353555275069084","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T133350_20200322T133850_12643_01_010302_20200322T141749.nc"
"London, England","2020/03/22","0.39482940337620676","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T133350_20200322T133850_12643_01_010302_20200322T141749.nc"
"New York City, New York","2020/03/22","0.889582135641831","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T165350_20200322T165850_12645_01_010302_20200322T173415.nc"
"Chicago, Illinois","2020/03/22","1.823820399295073","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T183350_20200322T183850_12646_01_010302_20200322T191316.nc"
"New York City, New York","2020/03/22","0.7053350382193457","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T183350_20200322T183850_12646_01_010302_20200322T191316.nc"
"Atlanta, Georgia","2020/03/22","1.9553189922589809","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T183350_20200322T183850_12646_01_010302_20200322T191316.nc"
"Houston, Texas","2020/03/22","0.3497187581160688","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T183350_20200322T183850_12646_01_010302_20200322T191316.nc"
"Los Angelos, California","2020/03/22","0.47429722053493606","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T201350_20200322T201850_12647_01_010302_20200322T205420.nc"
"Houston, Texas","2020/03/22","0.37930314738332527","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T201350_20200322T201850_12647_01_010302_20200322T205420.nc"
"Paris, France","2020/03/23","0.4701685356849339","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T131350_20200323T131850_12657_01_010302_20200323T135505.nc"
"London, England","2020/03/23","0.9746384930622298","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T131350_20200323T131850_12657_01_010302_20200323T135505.nc"
"Houston, Texas","2020/03/23","0.46373885561479256","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T195350_20200323T195850_12661_01_010302_20200323T203501.nc"
"Chicago, Illinois","2020/03/23","1.8309558090550127","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T181350_20200323T181850_12660_01_010302_20200323T185348.nc"
"New York City, New York","2020/03/23","1.9355455442564562","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T181350_20200323T181850_12660_01_010302_20200323T185348.nc"
"Atlanta, Georgia","2020/03/23","1.4990053823566996","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T181350_20200323T181850_12660_01_010302_20200323T185348.nc"
"Los Angelos, California","2020/03/23","0.3640105715021491","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T213850_20200323T214350_12662_01_010302_20200323T234446.nc"
"Chicago, Illinois","2020/03/23","2.0273157351766713","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T181850_20200323T182350_12660_01_010302_20200323T201544.nc"
"Paris, France","2020/03/23","0.39069279955583625","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T113350_20200323T113850_12656_01_010302_20200323T122354.nc"
